# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
5878	Rarotongan	Rarotongan	raro1241	1209	I	-ku	-ku	POLLEX	81779	1460			k u
5879	Rarotongan	Rarotongan	raro1241	1209	I	au	au	POLLEX	81778	4			a u
6169	Penryhn	Penrhyn	penr1237	1209	I	au	au	POLLEX	64852	4			a u
6389	Nukuria	Nukeria	nuku1259	1209	I	nau	nau	Davletshin-1212-2015	290958	4			n a u
6652	Samoan	Samoan	samo1305	1209	I	aʔu	aʔu	Blust-118-2005	64735	4			a ʔ u
6941	Rennell_Bellona	Rennellese	renn1242	1209	I	-ku	-ku	POLLEX	123674	1460			k u
6942	Rennell_Bellona	Rennellese	renn1242	1209	I	kau	kau	POLLEX	123673	4		au	k a u
7204	Tuvalu	Nanumea	tuva1244	1209	I	aku	aku	29903	192372	4		au	a k u
7461	Anuta	Anuta	anut1237	1209	I	kau	kau	POLLEX	123686	4		au	k a u
#
7	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1483	Nine	iva	iva	Hovdhaugen-375-2009	89601	945			i v a
250	Wallisian	Uvea, East	wall1257	1483	Nine	hiva	hiva	POLLEX	83560	945			h i v a
724	Maori	Maori	maor1246	1483	Nine	iwa	iwa	Biggs-85-2005	83539	945			i w a
948	Kapingamarangi	Kapingamarangi	kapi1249	1483	Nine	hiwa	hiwa	POLLEX	83549	945			h i w a
1168	Tahitian	Tahitian (Modern)	tahi1242	1483	Nine	iva	iva	Clark-173-2005	83546	945			i v a
1400	Emae	Emae (Makatea)	emae1237	1483	Nine	siβa	siβa	52375	266092	945			s i β a
1594	Rapanui	Rapanui (Easter Island)	rapa1244	1483	Nine	iva	iva	POLLEX	133562	945		iba	i v a
1852	Mangareva	Mangareva	mang1401	1483	Nine	iva	iva	POLLEX	321428	945			i v a
2113	Luangiua	Luangiua	onto1237	1483	Nine	sivo	sivo	POLLEX	83552	945			s i v o
2335	Tongan	Tongan	tong1325	1483	Nine	hiva	hiva	117207	83542	945			h i v a
2822	Tikopia	Tikopia	tiko1237	1483	Nine	siva	siva	POLLEX	83544	945			s i v a
3075	Sikaiana	Sikaiana	sika1261	1483	Nine	sivo	sivo	POLLEX	83554	945			s i v o
3296	North_Marquesan	Marquesan	nort2845	1483	Nine	iva	iva	POLLEX	83535	945			i v a
3590	East_Futunan	Futuna, East	east2447	1483	Nine	iva	iva	POLLEX	83548	945			i v a
3896	Pukapuka	Pukapuka	puka1242	1483	Nine	iva	iva	Salisbury-152-2005	83543	945			i v a
4200	Mele_Fila	Fila	mele1250	1483	Nine	siwa	siwa	52375	266101	945			s i w a
4394	Ra’ivavae	Ra'ivavae	aust1304	1483	Nine	iva	iva	Tamaititahio-1213-2015	291338	945			i v a
4591	Tuamotuan	Tuamotu	tuam1242	1483	Nine	iva	iva	POLLEX	83557	945			i v a
4854	Niuean	Niue	niue1239	1483	Nine	hiva	hiva	POLLEX	83558	945			h i v a
5100	Rurutuan	Rurutuan	aust1304	1483	Nine	iva	iva	Meyer-128-2005	165161	945			i v a
5358	Futuna_Aniwa	Futuna-Aniwa	futu1245	1483	Nine	iva	iva	POLLEX	83561	945			i v a
5613	Hawaiian	Hawaiian	hawa1245	1483	Nine	iwa	iwa	71458	83536	945			i w a
5849	Rarotongan	Rarotongan	raro1241	1483	Nine	iva	iva	POLLEX	83537	945			i v a
6151	Penryhn	Penrhyn	penr1237	1483	Nine	iva	iva	POLLEX	83551	945			i v a
6361	Nukuria	Nukeria	nuku1259	1483	Nine	siva	siva	Davletshin-1212-2015	290910	945		sivo	s i v a
6622	Samoan	Samoan	samo1305	1483	Nine	iva	iva	Blust-118-2005	83541	945			i v a
6913	Rennell_Bellona	Rennellese	renn1242	1483	Nine	iba	iba	POLLEX	83547	945			i b a
7178	Tuvalu	Nanumea	tuva1244	1483	Nine	iva	iva	29903	192223	945			i v a
7434	Anuta	Anuta	anut1237	1483	Nine	iva	iva	POLLEX	83559	945			i v a
#
15	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1493	One	kotahi	kotahi	Hovdhaugen-375-2009	123409	335		tai // tahi	k o t a h i
258	Wallisian	Uvea, East	wall1257	1493	One	tahi	tahi	POLLEX	70230	335			t a h i
732	Maori	Maori	maor1246	1493	One	tahi	tahi	Biggs-85-2005	70057	335			t a h i
955	Kapingamarangi	Kapingamarangi	kapi1249	1493	One	dahi	dahi	POLLEX	123402	335		tahi	d a h i
1177	Tahitian	Tahitian (Modern)	tahi1242	1493	One	ho'e	ho'e	Clark-173-2005	291471	373		hoo'ee	h o ʔ e
1178	Tahitian	Tahitian (Modern)	tahi1242	1493	One	tahi	tahi	Clark-173-2005	82829	335			t a h i
1408	Emae	Emae (Makatea)	emae1237	1493	One	tasi	tasi	52375	264686	335			t a s i
1602	Rapanui	Rapanui (Easter Island)	rapa1244	1493	One	tahi	tahi	POLLEX	70236	335			t a h i
1860	Mangareva	Mangareva	mang1401	1493	One	ta'i	ta'i	POLLEX	321438	335		e/taì	t a ʔ i
2121	Luangiua	Luangiua	onto1237	1493	One	kahi	kahi	POLLEX	70210	335			k a h i
2343	Tongan	Tongan	tong1325	1493	One	taha	taha	117207	70108	832			t a h a
2558	Rakahanga_Manihiki	Manihiki	raka1237	1493	One	tetahi	tetahi	Clark-589-2008	153387	335			t e t a h i
2830	Tikopia	Tikopia	tiko1237	1493	One	tasi	tasi	POLLEX	70127	335			t a s i
3083	Sikaiana	Sikaiana	sika1261	1493	One	tasi	tasi	POLLEX	123404	335		tahi	t a s i
3304	North_Marquesan	Marquesan	nort2845	1493	One	tahi	tahi	POLLEX	70010	335			t a h i
3598	East_Futunan	Futuna, East	east2447	1493	One	tasi	tasi	POLLEX	70182	335			t a s i
3904	Pukapuka	Pukapuka	puka1242	1493	One	tayi	tayi	Salisbury-152-2005	70124	335			t a j i
4208	Mele_Fila	Fila	mele1250	1493	One	etasi	etasi	52375	264696	335			e t a s i
4402	Ra’ivavae	Ra'ivavae	aust1304	1493	One	hoʔe	hoʔe	Tamaititahio-1213-2015	291330	373			h o ʔ e
4599	Tuamotuan	Tuamotu	tuam1242	1493	One	tahi	tahi	POLLEX	70218	335			t a h i
4862	Niuean	Niue	niue1239	1493	One	taha	taha	POLLEX	70219	832			t a h a
5109	Rurutuan	Rurutuan	aust1304	1493	One	taʔi	taʔi	Meyer-128-2005	70100	335			t a ʔ i
5365	Futuna_Aniwa	Futuna-Aniwa	futu1245	1493	One	tasi	tasi	POLLEX	70128	335			t a s i
5621	Hawaiian	Hawaiian	hawa1245	1493	One	'ekahi	'ekahi	71458	173586	335		kahi	ʔ e k a h i
5857	Rarotongan	Rarotongan	raro1241	1493	One	taì	taì	POLLEX	70030	335			t a ʔ i
6159	Penryhn	Penrhyn	penr1237	1493	One	tahi	tahi	POLLEX	70207	335			t a h i
6369	Nukuria	Nukeria	nuku1259	1493	One	hokotahi	hokotahi	Davletshin-1212-2015	291050	335		hokotasi // tahi	h o k o t a h i
6630	Samoan	Samoan	samo1305	1493	One	e tasi	e tasi	Blust-118-2005	70090	335			e t a s i
6921	Rennell_Bellona	Rennellese	renn1242	1493	One	tahi	tahi	POLLEX	123398	335		tasi	t a h i
7185	Tuvalu	Nanumea	tuva1244	1493	One	tahi	tahi	29903	192216	335			t a h i
7442	Anuta	Anuta	anut1237	1493	One	tasi	tasi	POLLEX	172037	335		tai	t a s i
#
2	Vaeakau_Taumako	Vaeakau-Taumako	pile1238	1634	One Hundred	vahiki	vahiki	Hovdhaugen-375-2009	89605	518			v a h i k i
248	Wallisian	Uvea, East	wall1257	1634	One Hundred	te/au/	te	POLLEX	83372	518			t e
719	Maori	Maori	maor1246	1634	One Hundred	rau	rau	Biggs-85-2005	83354	518			r a u
946	Kapingamarangi	Kapingamarangi	kapi1249	1634	One Hundred	lau	lau	POLLEX	83362	518			l a u
1163	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	haanere	haanere	Clark-173-2005	102831	186			h aː n e r e
1164	Tahitian	Tahitian (Modern)	tahi1242	1634	One Hundred	rau	rau	Clark-173-2005	83359	518			r a u
1591	Rapanui	Rapanui (Easter Island)	rapa1244	1634	One Hundred	rau	rau	POLLEX	83373	518			r a u
1848	Mangareva	Mangareva	mang1401	1634	One Hundred	rau	rau	POLLEX	321433	518		rau	r a u
2111	Luangiua	Luangiua	onto1237	1634	One Hundred	hui kalau	hui kalau	POLLEX	146607	518			h u i k a l a u
2331	Tongan	Tongan	tong1325	1634	One Hundred	-nge/au/	-nge	117207	83356	518			ŋ e
2820	Tikopia	Tikopia	tiko1237	1634	One Hundred	rau	rau	POLLEX	83357	518			r a u
3073	Sikaiana	Sikaiana	sika1261	1634	One Hundred	lau	lau	POLLEX	83367	518			l a u
3292	North_Marquesan	Marquesan	nort2845	1634	One Hundred	'au	'au	POLLEX	83352	518			ʔ a u
3586	East_Futunan	Futuna, East	east2447	1634	One Hundred	kaulelau	kaulelau	POLLEX	90903	518		lau	k a u l e l a u
3887	Pukapuka	Pukapuka	puka1242	1634	One Hundred	tino-we-lau	tino-we-lau	Salisbury-152-2005	90187	518		lau	t i n o w e l a u
3888	Pukapuka	Pukapuka	puka1242	1634	One Hundred	ānele	ānele	Salisbury-152-2005	90186	186			aː n e l e
4390	Ra’ivavae	Ra'ivavae	aust1304	1634	One Hundred	Gau	Gau	Tamaititahio-1213-2015	291342	518			ɢ a u
4589	Tuamotuan	Tuamotu	tuam1242	1634	One Hundred	rau	rau	POLLEX	83369	518			r a u
4850	Niuean	Niue	niue1239	1634	One Hundred	te au	te au	POLLEX	83370	518			t e a u
5096	Rurutuan	Rurutuan	aust1304	1634	One Hundred	ʔaanere	ʔaanere	Meyer-128-2005	165156	186			ʔ aː n e r e
5608	Hawaiian	Hawaiian	hawa1245	1634	One Hundred	hanele	hanele	71458	251533	186			h a n e l e
5845	Rarotongan	Rarotongan	raro1241	1634	One Hundred	tai anere	tai anere	POLLEX	111862	186			t a i a n e r e
6149	Penryhn	Penrhyn	penr1237	1634	One Hundred	rau	rau	POLLEX	83364	518			r a u
6357	Nukuria	Nukeria	nuku1259	1634	One Hundred	rau	rau	Davletshin-1212-2015	290901	518			r a u
